dataset;column;timeseries;coltype;timeseries_agg
spender_postmortem;lung_right_status;False;feature;
spender_postmortem;lymph_nodes_swollen;False;feature;
spender_postmortem;male_homosexual_activity;False;feature;
spender_postmortem;malignancy;False;feature;
spender_postmortem;malignancy_details;False;feature;
spender_postmortem;mamma_malginity;False;feature;
spender_postmortem;medication;False;feature;
spender_postmortem;melanom_malignancy;False;feature;
spender_postmortem;mother_hiv_positive;False;feature;
spender_postmortem;mrsa;False;feature;
spender_postmortem;nationality;False;feature;
spender_postmortem;neurologic_disease;False;feature;
spender_postmortem;night_sweats;False;feature;
spender_postmortem;organ_removal_date;False;feature;
spender_postmortem;other_diseases;False;feature;
spender_postmortem;other_diseases_reason_unknown;False;feature;
spender_postmortem;other_infectious_diseases;False;feature;
spender_postmortem;other_malignancy;False;feature;
spender_postmortem;pain_medication;False;feature;
spender_postmortem;pancreas_state;False;feature;
spender_postmortem;pre_operation;False;feature;
spender_postmortem;prosecutor_colon_allowed;False;feature;
spender_postmortem;prosecutor_decision_date;False;feature;
spender_postmortem;prosecutor_heart_allowed;False;feature;
spender_postmortem;prosecutor_kidney_left_allowed;False;feature;
spender_postmortem;prosecutor_kidney_right_allowed;False;feature;
spender_postmortem;prosecutor_liver_allowed;False;feature;
spender_postmortem;prosecutor_lung_left_allowed;False;feature;
spender_postmortem;prosecutor_pancreas_allowed;False;feature;
spender_postmortem;prostate_malignancy;False;feature;
spender_postmortem;prostitution;False;feature;
spender_postmortem;reanimation_cpimnt;False;feature;
spender_postmortem;reanimation_duration_min;False;feature;
spender_postmortem;received_human_clotting;False;feature;
spender_postmortem;recent_abnormalities;False;feature;
spender_postmortem;registry_date;False;feature;
spender_postmortem;relative_blood_donor;False;feature;
spender_postmortem;rhesus_factor;False;feature;
spender_postmortem;sex;False;feature;
spender_postmortem;sex_partner_stds;False;feature;
spender_postmortem;smoker;False;feature;
spender_postmortem;smoker_pack_years;False;feature;
spender_postmortem;smoking_amount;False;feature;
spender_postmortem;stationary_treatment;False;feature;
spender_postmortem;stds;False;feature;
spender_postmortem;tattoo_piercings;False;feature;
spender_postmortem;tattoo_piercings_sterile;False;feature;
spender_postmortem;treated_by_doctor;False;feature;
spender_postmortem;treated_diabetes;False;feature;
spender_postmortem;tubercolosis;False;feature;
spender_postmortem;type_cadaver;False;feature;
spender_postmortem;urine_catheter_start_date;False;feature;
spender_postmortem;vaccinated;False;feature;
spender_postmortem;ventilation_duration_hours;False;feature;
spender_postmortem;ventilation_start_date;False;feature;
spender_postmortem;weight_kg;False;feature;
spender_postmortem;weight_reduction;False;feature;
spender_postmortem_diagnosen;brain_damage_localisation_death;False;feature;
spender_postmortem_diagnosen;brain_damage_type;True;feature;latest
spender_postmortem_diagnosen;brain_damage_type_death;False;feature;
spender_postmortem_diagnosen;colon_excluded;False;feature;
spender_postmortem_diagnosen;communication_date;True;metadata;latest
spender_postmortem_diagnosen;death_date;False;feature;
spender_postmortem_diagnosen;death_disease_end_date;False;feature;
spender_postmortem_diagnosen;death_disease_start_date;False;feature;
spender_postmortem_diagnosen;death_reason_et;False;feature;
spender_postmortem_diagnosen;death_reason_icd_code_additional_dso;False;feature;
spender_postmortem_diagnosen;death_reason_icd_code_dso;False;feature;
spender_postmortem_diagnosen;death_reason_icd_code_et;False;feature;
spender_postmortem_diagnosen;death_reason_dso;False;feature;
spender_postmortem_diagnosen;death_reason_icd_et;False;feature;
spender_postmortem_diagnosen;death_type;True;feature;latest
spender_postmortem_diagnosen;death_type_final_diagnosis;False;feature;
spender_postmortem_diagnosen;diagnosis;True;feature;keep
spender_postmortem_diagnosen;diagnosis_additional;True;metadata;keep
spender_postmortem_diagnosen;diagnosis_code;True;feature;keep
spender_postmortem_diagnosen;diagnosis_code_additional;True;feature;keep
spender_postmortem_diagnosen;diagnosis_type;True;metadata;keep
spender_postmortem_diagnosen;disease_end_date;True;metadata;keep
spender_postmortem_diagnosen;disease_start_date;True;feature;min
spender_postmortem_diagnosen;heart_excluded;False;feature;
spender_postmortem_diagnosen;kidney_left_excluded;False;feature;
spender_postmortem_diagnosen;kidney_right_excluded;False;feature;
spender_postmortem_diagnosen;liver_excluded;False;feature;
spender_postmortem_diagnosen;lung_left_excluded;False;feature;
spender_postmortem_diagnosen;lung_right_excluded;False;feature;
spender_postmortem_diagnosen;pancreas_excluded;False;feature;
spender_postmortem_diagnosen;treated;True;feature;keep
spender_postmortem_labor_blutgase;communicated_date;True;metadata;keep
spender_postmortem_labor_blutgase;examination_date;True;metadata;keep
spender_postmortem_labor_blutgase;excess_mmol_per_l;True;feature;latest
spender_postmortem_labor_blutgase;excess_o2_o2_100_mmol_per_l;True;feature;latest
spender_postmortem_labor_blutgase;hco3_mmol_per_l;True;feature;latest
spender_postmortem_labor_blutgase;hco3_o2_100_mmol_per_l;True;feature;latest
spender_postmortem_labor_blutgase;o2_percent;True;feature;latest
spender_postmortem_labor_blutgase;o2_saturation_o2_100_percent;True;feature;latest
spender_postmortem_labor_blutgase;o2_saturation_percent;True;feature;latest
spender_postmortem_labor_blutgase;p_co2_mm_hg;True;feature;latest
spender_postmortem_labor_blutgase;p_co2_o2_100_mm_hg;True;feature;latest
spender_postmortem_labor_blutgase;blood_ph;True;feature;latest
spender_postmortem_labor_blutgase;p_h_o2_100;True;feature;latest
spender_postmortem_labor_blutgase;p_o2_mm_hg;True;feature;latest
spender_postmortem_labor_blutgase;p_o2_o2_100_mm_hg;True;feature;latest
spender_postmortem_labor_blutgase;peep_cm_h2o;True;feature;latest
spender_postmortem_labor_blutgase;result_date;True;metadata;latest
spender_postmortem_labor_blutgase;sample_tissue;True;metadata;latest
spender_postmortem_labor_blutgase;sampling_date;True;metadata;latest
spender_postmortem_labor_blutgruppe;antibodies;True;feature;latest
spender_postmortem_labor_blutgruppe;bloodgroup;True;feature;latest
spender_postmortem_labor_blutgruppe;communicated_date;True;metadata;latest
spender_postmortem_labor_blutgruppe;examination_date;True;metadata;latest
spender_postmortem_labor_blutgruppe;result_date;True;metadata;latest
spender_postmortem_labor_blutgruppe;rhesus;True;feature;latest
spender_postmortem_labor_blutgruppe;sample_tissue;True;metadata;latest
spender_postmortem_labor_blutgruppe;sampling_date;True;metadata;latest
spender_postmortem_labor_blutgruppe;sampling_type;True;metadata;latest
spender_postmortem_labor_crossmatch;b_cell_match;True;feature;latest
spender_postmortem_labor_crossmatch;b_cell_match_e;False;feature;
spender_postmortem_labor_crossmatch;b_cell_match_h;True;feature;latest
spender_postmortem_labor_crossmatch;crossmatch_program;True;feature;keep
spender_postmortem_labor_crossmatch;date_e;False;metadata;
spender_postmortem_labor_crossmatch;date_h;True;metadata;keep
spender_postmortem_labor_crossmatch;date_s;True;metadata;keep
spender_postmortem_labor_crossmatch;esp_match;True;metadata;keep
spender_postmortem_labor_crossmatch;exam_date;True;metadata;keep
spender_postmortem_labor_crossmatch;igg_match;True;feature;latest
spender_postmortem_labor_crossmatch;igg_match_e;False;feature;
spender_postmortem_labor_crossmatch;igg_match_h;True;feature;latest
spender_postmortem_labor_crossmatch;igm_match;True;feature;latest
